index,lang_samp
0,hu
1,cs
2,de
3,fr
4,pt
5,hu
6,es
7,pl
8,ro
9,da
10,nl
11,es
12,cs
13,et
14,it
15,bg
16,et
17,sl
18,pl
19,sv
20,nl
21,ro
22,ro
23,hu
24,sv
25,bg
26,sv
27,it
28,ro
29,de
30,lt
31,ro
32,da
33,sl
34,nl
35,fr
36,de
37,ro
38,ro
39,de
40,es
41,lv
42,de
43,sv
44,pt
45,et
46,sl
47,sl
48,ro
49,ro
50,ro
51,fr
52,lv
53,sk
54,hu
55,ro
56,et
57,pl
58,it
59,sv
60,lv
61,lt
62,lv
63,lv
64,hu
65,el
66,es
67,lv
68,it
69,cs
70,fr
71,it
72,nl
73,fr
74,da
75,lv
76,el
77,el
78,et
79,it
80,es
81,da
82,ro
83,sk
84,cs
85,pt
86,sk
87,it
88,lt
89,lt
90,lv
91,ro
92,lt
93,nl
94,fr
95,fi
96,el
97,hu
98,cs
99,bg
100,nl
101,el
102,de
103,el
104,hu
105,fr
106,fi
107,da
108,pl
109,lv
110,it
111,hu
112,da
113,ro
114,fr
115,lt
116,lt
117,et
118,it
119,cs
120,lt
121,sv
122,lt
123,it
124,cs
125,de
126,et
127,lv
128,cs
129,lt
130,fr
131,es
132,et
133,it
134,sv
135,nl
136,pl
137,et
138,ro
139,lt
140,nl
141,sk
142,et
143,sk
144,el
145,sv
146,sl
147,fr
148,da
149,fr
150,el
151,sv
152,bg
153,pt
154,ro
155,et
156,lv
157,fr
158,de
159,sl
160,es
161,pl
162,da
163,et
164,sv
165,sl
166,da
167,ro
168,sl
169,bg
170,el
171,lt
172,it
173,pt
174,sv
175,pt
176,da
177,it
178,pt
179,fr
180,es
181,hu
182,fr
183,da
184,pl
185,da
186,el
187,lt
188,sl
189,lt
190,hu
191,bg
192,hu
193,fr
194,ro
195,bg
196,lt
197,hu
198,ro
199,ro
200,sv
201,lt
202,ro
203,sv
204,pl
205,ro
206,hu
207,lt
208,fi
209,fi
210,pl
211,pl
212,de
213,es
214,sk
215,bg
216,de
217,lt
218,bg
219,fi
220,cs
221,it
222,lt
223,sl
224,pt
225,et
226,es
227,fr
228,bg
229,fi
230,pl
231,da
232,sk
233,sv
234,de
235,hu
236,ro
237,it
238,fi
239,ro
240,ro
241,da
242,es
243,da
244,el
245,lt
246,de
247,ro
248,pl
249,ro
250,cs
251,nl
252,it
253,fr
254,pl
255,sl
256,nl
257,bg
258,ro
259,fr
260,fi
261,et
262,nl
263,lv
264,sl
265,lt
266,sv
267,fr
268,hu
269,et
270,bg
271,lt
272,el
273,fi
274,pt
275,it
276,es
277,ro
278,da
279,es
280,bg
281,et
282,fi
283,pl
284,cs
285,el
286,it
287,pl
288,da
289,ro
290,pl
291,nl
292,cs
293,fr
294,nl
295,lv
296,fi
297,sk
298,sk
299,cs
300,nl
301,fi
302,pt
303,fr
304,pl
305,nl
306,sv
307,hu
308,ro
309,et
310,sk
311,fi
312,ro
313,pt
314,fr
315,sl
316,hu
317,lv
318,fr
319,lv
320,fi
321,de
