index,lang_samp
0,hu
1,cs
2,de
3,fr
4,pt
5,hu
6,pt
7,pl
8,fr
9,de
10,nl
11,it
12,cs
13,fr
14,sv
15,bg
16,nl
17,sl
18,cs
19,hu
20,nl
21,el
22,fi
23,hu
24,es
25,bg
26,sv
27,it
28,pt
29,de
30,fi
31,es
32,da
33,it
34,sv
35,fr
36,da
37,fr
38,ro
39,da
40,pt
41,ro
42,nl
43,nl
44,nl
45,fi
46,de
47,de
48,it
49,hu
50,el
51,fr
52,lv
53,sk
54,et
55,ro
56,sl
57,pl
58,fr
59,ro
60,lv
61,lt
62,fr
63,lv
64,lt
65,fr
66,pt
67,lv
68,it
69,fr
70,fr
71,nl
72,es
73,lt
74,da
75,lv
76,el
77,el
78,et
79,it
80,nl
81,fr
82,fr
83,lt
84,fr
85,pt
86,hu
87,it
88,sl
89,lt
90,nl
91,fr
92,lt
93,nl
94,fr
95,fr
96,el
97,et
98,cs
99,bg
100,de
101,el
102,pt
103,el
104,hu
105,fr
106,et
107,da
108,pl
109,lv
110,ro
111,fr
112,nl
113,fr
114,de
115,lt
116,sv
117,fr
118,ro
119,fr
120,lt
121,sv
122,fr
123,fi
124,pl
125,de
126,fr
127,sv
128,cs
129,lt
130,fr
131,pt
132,da
133,fr
134,sv
135,et
136,pl
137,nl
138,fr
139,et
140,nl
141,sl
142,ro
143,cs
144,pt
145,sv
146,da
147,fr
148,it
149,fr
150,el
151,da
152,bg
153,sv
154,ro
155,sl
156,et
157,fr
158,ro
159,sl
160,es
161,pl
162,da
163,et
164,sv
165,sl
166,fr
167,it
168,sl
169,bg
170,el
171,lv
172,ro
173,sl
174,da
175,de
176,sk
177,it
178,pt
179,fr
180,es
181,hu
182,ro
183,pt
184,pl
185,da
186,el
187,lt
188,sv
189,lt
190,hu
191,bg
192,hu
193,fr
194,sk
195,bg
196,lt
197,hu
198,da
199,fr
200,nl
201,fi
202,fr
203,fr
204,pl
205,ro
206,hu
207,lv
208,fi
209,fr
210,sk
211,pl
212,nl
213,pl
214,sk
215,bg
216,de
217,lv
218,bg
219,lt
220,cs
221,it
222,fr
223,fr
224,it
225,et
226,it
227,fr
228,bg
229,nl
230,cs
231,da
232,sk
233,sl
234,nl
235,hu
236,ro
237,sv
238,sk
239,fr
240,fr
241,da
242,fr
243,da
244,el
245,lt
246,de
247,ro
248,fr
249,ro
250,nl
251,nl
252,sv
253,es
254,pl
255,fr
256,pl
257,bg
258,sk
259,fr
260,fi
261,de
262,hu
263,lv
264,sv
265,lt
266,sv
267,fr
268,hu
269,it
270,bg
271,lt
272,el
273,ro
274,pt
275,hu
276,it
277,el
278,da
279,fr
280,bg
281,et
282,fi
283,fr
284,ro
285,el
286,es
287,fr
288,da
289,pl
290,fr
291,nl
292,cs
293,fr
294,nl
295,lv
296,fi
297,pt
298,sk
299,nl
300,nl
301,fi
302,sl
303,fr
304,pl
305,sv
306,da
307,es
308,fr
309,et
310,nl
311,fr
312,de
313,pt
314,fr
315,sl
316,sv
317,lv
318,fr
