index,lang_samp
0,hu
1,sl
2,lt
3,da
4,pt
5,hu
6,bg
7,bg
8,bg
9,bg
10,bg
11,bg
12,cs
13,et
14,bg
15,bg
16,et
17,bg
18,bg
19,hu
20,bg
21,el
22,hu
23,bg
24,cs
25,bg
26,cs
27,lt
28,bg
29,de
30,bg
31,bg
32,bg
33,bg
34,bg
35,bg
36,el
37,bg
38,ro
39,bg
40,bg
41,bg
42,lt
43,bg
44,bg
45,bg
46,bg
47,sl
48,ro
49,bg
50,bg
51,bg
52,lv
53,bg
54,bg
55,ro
56,et
57,pl
58,bg
59,hu
60,et
61,lt
62,bg
63,lv
64,bg
65,bg
66,bg
67,bg
68,cs
69,bg
70,bg
71,bg
72,bg
73,bg
74,bg
75,bg
76,bg
77,el
78,bg
79,bg
80,bg
81,et
82,bg
83,bg
84,hu
85,bg
86,bg
87,bg
88,bg
89,bg
90,bg
91,bg
92,lt
93,fi
94,bg
95,fi
96,el
97,bg
98,bg
99,bg
100,bg
101,el
102,bg
103,bg
104,hu
105,sk
106,fi
107,da
108,pl
109,lv
110,et
111,hu
112,bg
113,bg
114,lt
115,lt
116,lv
117,lt
118,ro
119,pl
120,bg
121,bg
122,bg
123,bg
124,bg
125,sl
126,bg
127,bg
128,hu
129,bg
130,bg
131,bg
132,sk
133,bg
134,hu
135,hu
136,pl
137,et
138,bg
139,lt
140,nl
141,sl
142,bg
143,cs
144,bg
145,bg
146,bg
147,bg
148,bg
149,bg
150,bg
151,da
152,bg
153,bg
154,lt
155,bg
156,lt
157,fr
158,bg
159,sl
160,bg
161,bg
162,bg
163,bg
164,bg
165,bg
166,bg
167,lv
168,et
169,bg
170,bg
171,lv
172,bg
173,hu
174,bg
175,bg
176,bg
177,bg
178,lt
179,bg
180,sk
181,hu
182,bg
183,bg
184,pl
185,da
186,bg
187,bg
188,bg
189,bg
190,bg
191,bg
192,hu
193,bg
194,cs
195,bg
196,lt
197,hu
198,bg
199,bg
200,et
201,lt
202,bg
203,bg
204,pl
205,bg
206,bg
207,lv
208,fi
209,lv
210,pl
211,pl
212,hu
213,bg
214,bg
215,bg
216,bg
217,bg
218,bg
219,fi
220,cs
221,bg
222,bg
223,bg
224,bg
225,et
226,bg
227,el
228,bg
229,fi
230,el
231,bg
232,sl
233,bg
234,hu
235,bg
236,lt
237,bg
238,bg
239,cs
240,bg
241,da
242,bg
243,bg
244,bg
245,bg
246,pl
247,bg
248,bg
249,hu
250,sl
251,el
252,bg
253,bg
254,pl
255,bg
256,pl
257,bg
258,bg
259,et
260,fi
261,bg
262,hu
263,bg
264,sl
265,fi
266,bg
267,bg
268,hu
269,lt
270,bg
271,bg
272,bg
273,fr
274,ro
275,sk
276,bg
277,bg
278,lt
279,bg
280,bg
281,et
282,fi
283,bg
284,bg
285,bg
286,bg
287,bg
288,da
289,bg
290,bg
291,et
292,sl
293,da
294,bg
295,lt
296,fi
297,bg
298,bg
299,bg
300,bg
301,cs
302,bg
303,lv
304,pl
305,bg
306,bg
307,bg
308,bg
309,et
310,bg
311,fi
312,bg
313,bg
314,bg
315,sl
316,fi
317,lv
318,fi
319,bg
320,bg
321,bg
322,sl
323,et
324,bg
325,bg
326,bg
327,pl
328,bg
329,et
330,bg
331,bg
332,bg
333,et
334,bg
335,bg
336,sl
337,lv
338,da
339,bg
340,bg
341,da
342,bg
343,et
344,bg
345,sl
346,pl
347,lv
348,lt
349,lt
350,sl
351,nl
352,bg
353,sv
354,et
355,pl
356,bg
357,bg
358,bg
359,lt
360,bg
361,fr
362,bg
363,el
364,sl
365,da
366,fi
367,bg
368,bg
369,bg
370,bg
371,lt
372,bg
373,sl
374,et
375,da
376,et
377,bg
378,cs
379,pl
380,el
381,bg
382,sl
383,bg
384,bg
385,da
386,lt
387,bg
388,bg
389,bg
390,el
391,bg
392,bg
393,sl
394,el
395,bg
396,bg
397,bg
398,bg
399,bg
400,bg
401,bg
402,cs
403,bg
404,el
405,et
406,bg
407,bg
408,fr
409,fr
410,bg
411,bg
412,lt
413,lt
414,bg
415,fi
416,bg
417,lv
418,sl
419,de
420,bg
421,ro
422,el
423,cs
424,de
425,bg
426,pl
427,et
428,hu
429,cs
430,bg
431,bg
432,ro
433,bg
434,bg
435,de
436,sk
437,bg
438,bg
439,da
440,ro
441,hu
442,bg
443,bg
444,bg
445,bg
446,bg
447,bg
448,bg
449,hu
450,hu
451,bg
452,bg
453,el
454,bg
455,hu
456,bg
457,el
458,bg
459,pl
460,bg
461,cs
462,bg
463,bg
464,bg
465,bg
466,da
467,hu
468,bg
469,bg
470,et
471,nl
472,bg
473,pl
474,el
475,pl
476,bg
477,lt
478,bg
479,bg
480,bg
481,bg
