index,lang_samp
0,hu
1,sk
2,de
3,fr
4,pt
5,hu
6,es
7,lt
8,it
9,et
10,et
11,fr
12,cs
13,fr
14,sv
15,bg
16,nl
17,sl
18,ro
19,hu
20,fr
21,el
22,de
23,hu
24,es
25,bg
26,sv
27,ro
28,pt
29,de
30,fr
31,lt
32,da
33,it
34,ro
35,fr
36,sv
37,es
38,ro
39,da
40,es
41,sk
42,de
43,da
44,nl
45,fi
46,sl
47,sl
48,ro
49,ro
50,es
51,fr
52,lv
53,lv
54,it
55,it
56,pl
57,pl
58,sl
59,nl
60,lv
61,lt
62,de
63,lv
64,lt
65,es
66,pt
67,et
68,fi
69,et
70,fr
71,ro
72,es
73,lv
74,nl
75,lv
76,el
77,el
78,et
79,cs
80,es
81,da
82,et
83,lt
84,it
85,pt
86,sl
87,it
88,it
89,de
90,lv
91,es
92,lt
93,sv
94,nl
95,fi
96,el
97,hu
98,cs
99,bg
100,nl
101,el
102,de
103,el
104,hu
105,fr
106,et
107,da
108,pl
109,lt
110,et
111,hu
112,nl
113,es
114,fr
115,lt
116,sv
117,fr
118,it
119,pl
120,lt
121,da
122,fr
123,fi
124,pl
125,sv
126,pt
127,lv
128,cs
129,fi
130,fr
131,es
132,es
133,it
134,sv
135,nl
136,pl
137,nl
138,sk
139,pt
140,nl
141,sk
142,ro
143,sk
144,de
145,sv
146,lt
147,et
148,es
149,fr
150,el
151,sv
152,bg
153,sv
154,ro
155,et
156,et
157,fr
158,ro
159,sl
160,pt
161,pl
162,de
163,et
164,da
165,sl
166,ro
167,ro
168,sl
169,bg
170,el
171,lv
172,it
173,sv
174,nl
175,de
176,da
177,it
178,pt
179,fr
180,pl
181,hu
182,ro
183,de
184,pl
185,sv
186,el
187,lt
188,sk
189,lv
190,sl
191,bg
192,pt
193,fr
194,ro
195,bg
196,lt
197,it
198,ro
199,es
200,da
201,fi
202,es
203,fr
204,pl
205,ro
206,hu
207,lv
208,fi
209,de
210,pl
211,pl
212,de
213,fi
214,da
215,bg
216,nl
217,de
218,bg
219,fi
220,sk
221,sv
222,fr
223,es
224,da
225,et
226,es
227,fr
228,bg
229,nl
230,pl
231,da
232,sk
233,cs
234,pt
235,hu
236,ro
237,et
238,lt
239,ro
240,el
241,da
242,pt
243,da
244,el
245,lt
246,de
247,ro
248,es
249,es
250,nl
251,sv
252,hu
253,ro
254,pl
255,fr
256,pl
257,bg
258,sk
259,fr
260,fi
261,de
262,hu
263,fi
264,sl
265,fi
266,da
267,fr
268,hu
269,pt
270,bg
271,cs
272,es
273,nl
274,da
275,et
276,it
277,es
278,da
279,es
280,bg
281,et
282,fi
283,pl
284,cs
285,el
286,da
287,pl
288,da
289,cs
290,es
291,nl
292,pl
293,ro
294,nl
295,fi
296,fi
297,sk
298,sk
299,sv
300,de
301,fi
302,pl
303,fr
304,pl
305,pl
306,lt
307,pt
308,es
309,et
310,da
311,fi
312,de
313,pt
314,fr
315,sl
316,fi
317,lv
318,fr
319,lv
320,ro
321,de
322,pt
323,et
324,es
325,sl
326,sk
327,pl
328,nl
329,it
330,hu
331,bg
332,nl
333,fi
334,bg
335,sl
336,de
337,lv
338,nl
339,es
340,nl
341,nl
342,lv
343,fr
344,pt
345,it
346,sk
347,lv
348,pt
349,es
350,sl
351,es
352,fi
353,sv
354,et
355,pl
356,it
357,fr
358,bg
359,fi
360,cs
361,nl
362,fi
363,el
364,cs
365,nl
366,nl
367,fr
368,sk
369,fr
370,fr
371,lt
372,pt
373,fi
374,sv
375,fr
376,it
377,lv
378,pl
379,pl
380,lv
381,bg
382,nl
383,lv
384,fr
385,da
386,fr
387,pt
388,sk
389,sv
390,es
391,da
392,el
393,sk
394,nl
395,de
396,bg
397,nl
398,es
399,es
400,pl
401,it
402,fi
403,sl
404,el
405,fr
406,sl
407,et
408,fr
409,fr
410,it
411,lv
412,ro
413,da
414,fr
415,sv
416,el
417,de
418,cs
419,de
420,fr
421,pt
422,el
423,de
424,et
425,el
426,sv
427,es
428,hu
429,cs
430,sv
431,es
432,ro
433,hu
434,sv
435,de
436,sk
437,fr
438,es
439,de
440,ro
441,de
442,es
443,bg
444,lt
445,ro
446,nl
447,cs
448,it
449,lt
450,hu
451,fr
452,pt
453,el
454,fr
455,hu
456,es
457,el
458,fr
459,pl
460,sk
461,es
462,da
463,sk
464,et
465,fr
466,da
467,hu
468,it
469,pt
470,ro
471,nl
472,fr
473,pl
474,el
475,pl
476,et
477,lt
478,sv
479,it
480,pt
481,lt
482,nl
483,ro
484,sl
485,pt
486,pt
487,sl
488,hu
489,el
490,fr
491,it
492,de
493,sl
494,cs
495,sl
496,de
497,pt
498,lv
499,pl
500,da
501,da
502,fr
503,it
504,de
505,bg
506,nl
507,bg
508,el
509,de
510,pl
511,nl
512,sl
513,el
514,pt
515,fi
516,nl
517,fi
518,sl
519,el
520,es
521,fi
522,sv
523,es
524,pt
525,it
526,lt
527,pl
528,da
529,bg
530,it
531,cs
532,lt
533,pt
534,de
535,bg
536,ro
537,pl
538,lv
539,lv
540,de
541,bg
542,es
543,es
544,pl
545,el
546,et
547,lv
548,sk
549,fr
550,et
551,bg
552,ro
553,da
554,ro
555,et
556,sv
557,de
558,sk
559,lt
560,lv
561,da
