iter	MultiClass
0	1.026106788
1	0.966052071
2	0.915362851
3	0.8684583414
4	0.8287690405
5	0.7911534334
6	0.7531738957
7	0.7237679259
8	0.690440466
9	0.663037046
10	0.6359582366
11	0.6137302324
12	0.5904552993
13	0.5739073163
14	0.5547946186
15	0.5362835193
16	0.5185030613
17	0.5044248263
18	0.4903544162
19	0.4772993054
20	0.462952906
21	0.4521550007
22	0.4412220698
23	0.4300782784
24	0.4177807793
25	0.4063615145
26	0.3969020735
27	0.3885715756
28	0.3839516766
29	0.3763357089
30	0.3678811293
31	0.357785556
32	0.3488695145
33	0.3405440878
34	0.3318971934
35	0.3257669964
36	0.3184164634
37	0.3112877867
38	0.3051951305
39	0.3002808898
40	0.2953008826
41	0.2891393877
42	0.2830979102
43	0.2784479831
44	0.2742155211
45	0.2704771478
46	0.2660006319
47	0.2618411213
48	0.2587032951
49	0.2531580893
50	0.2497453464
51	0.2459786602
52	0.2424843942
53	0.2394494452
54	0.2347709019
55	0.2313218692
56	0.2275167556
57	0.225803916
58	0.2226247743
59	0.218212835
60	0.215289838
61	0.2117824276
62	0.208767735
63	0.2055470893
64	0.2026974995
65	0.1999063984
66	0.1966074174
67	0.1946583522
68	0.1913573322
69	0.1885656456
70	0.1854841631
71	0.1830347142
72	0.180838739
73	0.1784999201
74	0.1761495587
75	0.1734691863
76	0.1712376555
77	0.169387055
78	0.167499457
79	0.1650683929
80	0.1628705801
81	0.1606269715
82	0.15863062
83	0.1574291466
84	0.1556431002
85	0.1544186651
86	0.1526531494
87	0.1511112072
88	0.1496982241
89	0.1480906424
90	0.146403467
91	0.1448592123
92	0.1434510265
93	0.1415399483
94	0.1399880213
95	0.1379368029
96	0.1364978137
97	0.1351677306
98	0.1337319087
99	0.1327501455
100	0.131173921
101	0.129688236
102	0.1286782924
103	0.1273813837
104	0.12616354
105	0.1249614821
106	0.1238629429
107	0.1227300629
108	0.1215758472
109	0.1203367898
110	0.1186280095
111	0.1172370602
112	0.1161875177
113	0.1149886566
114	0.1142744065
115	0.1131901408
116	0.1122973172
117	0.1109410341
118	0.1098703404
119	0.1086706204
120	0.1074956952
121	0.106431486
122	0.1054328892
123	0.1042762648
124	0.1034245518
125	0.1025896214
126	0.101620211
127	0.1001255514
128	0.09900780288
129	0.09807752001
130	0.09721818292
131	0.09637534769
132	0.0953561327
133	0.09454719697
134	0.09362749974
135	0.09310377649
136	0.09231545744
137	0.09168766037
138	0.09097940896
139	0.0900181992
140	0.08939233515
141	0.08856340626
142	0.08775553173
143	0.08695242318
144	0.08604087102
145	0.08524561507
146	0.08465122102
147	0.08421577409
148	0.08359799464
149	0.08302776395
150	0.08247809127
151	0.08172832774
152	0.08101850796
153	0.08044771468
154	0.07942041463
155	0.07868266136
156	0.07813955179
157	0.0773691661
158	0.07681342875
159	0.07625211499
160	0.07575648524
161	0.07522204962
162	0.07480575349
163	0.07413594822
164	0.07352157594
165	0.07316281484
166	0.07256011304
167	0.07200098968
168	0.07153624179
169	0.07098511409
170	0.07056768155
171	0.07004714901
172	0.06954959622
173	0.06911277641
174	0.06838751785
175	0.06811636271
176	0.06776761945
177	0.06738828589
178	0.06708132953
179	0.06686011603
180	0.06629981494
181	0.06583151981
182	0.0653107372
183	0.06497166591
184	0.06458380827
185	0.06430750355
186	0.06380976233
187	0.06337317541
188	0.06290209273
189	0.06242504049
190	0.06208096578
191	0.06171739688
192	0.06116303925
193	0.06088141751
194	0.06044589011
195	0.06007947824
196	0.05963049512
197	0.05922845876
198	0.05885808368
199	0.05866808499
200	0.05832405111
201	0.05791896808
202	0.0574662152
203	0.05700948006
204	0.05675068888
205	0.05635784648
206	0.05610298814
207	0.05583263171
208	0.0555389563
209	0.05527066263
210	0.05486298819
211	0.05447517872
212	0.05414304354
213	0.05389815941
214	0.05360381433
215	0.05329820977
216	0.05301241769
217	0.05264899236
218	0.05241221126
219	0.05220503387
220	0.0518497039
221	0.05144280731
222	0.05119984736
223	0.05100726127
224	0.05074399883
225	0.05040172717
226	0.05015615642
227	0.04986303905
228	0.04965761646
229	0.04950917117
230	0.0492335079
231	0.04906179003
232	0.04883671556
233	0.04855902583
234	0.04830730803
235	0.04801293768
236	0.04772170371
237	0.04747015378
238	0.04721333841
239	0.04694188575
240	0.04668300361
241	0.04642278204
242	0.04620545591
243	0.04599314463
244	0.04580699957
245	0.04553525353
246	0.04523932165
247	0.04502095011
248	0.04489968901
249	0.04467544327
250	0.04440691659
251	0.04415840663
252	0.04398628221
253	0.04378035122
254	0.04357019355
255	0.04331660733
256	0.04314322487
257	0.04294108758
258	0.04274413892
259	0.04245713754
260	0.04228829657
261	0.04204169629
262	0.04186063183
263	0.04168692499
264	0.04153700248
265	0.04132823144
266	0.04114099238
267	0.0409977046
268	0.04077107459
269	0.04069596537
270	0.04050079151
271	0.04031146733
272	0.04011952226
273	0.039867506
274	0.03967841926
275	0.03956630173
276	0.03942193048
277	0.03928080111
278	0.03903840681
279	0.03879355444
280	0.03864204829
281	0.03851036464
282	0.03828611934
283	0.03807698901
284	0.03795069024
285	0.03783643483
286	0.03757713057
287	0.03748208544
288	0.03726627095
289	0.03717220803
290	0.03700214707
291	0.03690917495
292	0.03672324147
293	0.036531991
294	0.0363775732
295	0.03623817674
296	0.0360811994
297	0.03583317765
298	0.03571886742
299	0.03559241219
300	0.03544943579
301	0.03529045717
302	0.03503846881
303	0.0349431095
304	0.03477621562
305	0.03459568162
306	0.03447864699
307	0.03432153413
308	0.03416330749
309	0.03397284226
310	0.0338618406
311	0.03374915906
312	0.03365732932
313	0.03356397117
314	0.033470175
315	0.03331325545
316	0.03321042183
317	0.03311555435
318	0.03297336677
319	0.0328514333
320	0.03270658431
321	0.03263584974
322	0.03250983373
323	0.03237740505
324	0.0322367464
325	0.03202355763
326	0.03188696697
327	0.03172467182
328	0.03155497289
329	0.03150071369
330	0.03140727919
331	0.03137089495
332	0.03117970813
333	0.03106561308
334	0.03092398159
335	0.03083063467
336	0.03071557214
337	0.03060276869
338	0.03044310173
339	0.03034701907
340	0.03025761903
341	0.03018481588
342	0.03010656025
343	0.02997246322
344	0.02990946162
345	0.029793127
346	0.02969787614
347	0.02962283797
348	0.02957311865
349	0.0294946834
350	0.02933116329
351	0.02926297889
