index,critical_temp
0,55.241917
1,2.9541748
2,18.294247
3,86.859604
4,20.143734
5,107.46627
6,29.776941
7,1.767608
8,3.4065516
9,83.30663
10,1.2452416
11,25.62498
12,27.870821
13,3.2409272
14,70.69641
15,28.589983
16,55.279976
17,22.388449
18,4.6309767
19,18.800089
20,83.63788
21,8.431669
22,8.627176
23,24.504631
24,5.7778
25,55.14446
26,86.8935
27,-0.34964788
28,0.5698033
29,52.140827
30,31.604954
31,1.0342513
32,5.769518
33,72.86172
34,7.1956043
35,21.921564
36,34.690887
37,44.200195
38,3.4436617
39,5.335696
40,3.9562058
41,3.1009858
42,61.055695
43,3.841657
44,25.285206
45,19.837332
46,21.764019
47,18.64712
48,9.218432
49,17.65142
50,61.58193
51,5.372133
52,20.34508
53,5.696623
54,8.676353
55,17.761358
56,28.793907
57,76.70127
58,4.7754707
59,12.502722
60,1.5473481
61,76.06628
62,1.781857
63,4.3248715
64,30.4177
65,73.35263
66,90.34995
67,11.726619
68,57.8616
69,8.805084
70,16.59116
71,18.844164
72,5.884419
73,7.211504
74,8.247746
75,19.856092
76,3.2398267
77,68.95191
78,5.2447095
79,21.860422
80,89.23355
81,4.6993065
82,0.22311705
83,9.576755
84,21.706764
85,85.2162
86,5.096355
87,3.0359206
88,7.568072
89,26.31053
90,33.057278
91,75.53207
92,25.913813
93,90.41766
94,76.21563
95,46.170883
96,79.661156
97,21.395374
98,60.802177
99,9.36603
100,70.61437
101,58.110165
102,11.014415
103,3.448679
104,2.294951
105,16.75303
106,4.3091445
107,30.076311
108,70.55463
109,49.800274
110,1.2589275
111,6.6296344
112,23.98973
113,3.2197123
114,60.02117
115,1.9500223
116,36.717426
117,4.6527586
118,12.923313
119,81.843506
120,87.59575
121,3.824116
122,3.8601873
123,57.51023
124,30.674223
125,0.66977656
126,56.536213
127,6.702479
128,9.351382
129,62.360397
130,29.473143
131,23.275774
132,38.1661
133,97.49523
134,31.876472
135,2.3781483
136,14.525255
137,76.62221
138,38.1484
139,26.356749
140,51.455555
141,18.844164
142,26.847034
143,10.336411
144,8.432774
145,0.98637694
146,75.26719
147,23.036316
148,6.19887
149,70.70776
150,142.29245
151,43.070007
152,3.3580387
153,37.67799
154,15.952146
155,89.18966
156,-1.0082418
157,33.769867
158,1.6849828
159,-0.03913421
160,76.14177
161,27.896566
162,3.3481176
163,7.5962234
164,1.8466641
165,8.800018
166,1.5525304
167,5.94292
168,42.192802
169,6.624994
170,5.4832406
171,82.72471
172,1.5300883
173,26.482561
174,38.65598
175,68.38299
176,28.865871
177,5.956143
178,5.2195363
179,43.752922
180,90.31503
181,66.52729
182,80.68822
183,5.0989695
184,36.528015
185,1.7037761
